,Word,Frequency
0,ho,1
1,chi,1
2,minh,1
3,citi,8
4,focu,3
5,major,3
6,transport,6
7,project,8
8,help,1
9,eas,1
10,traffic,4
11,gridlock,1
12,scrap,2
13,less,2
14,urgent,3
15,one,2
16,sinc,1
17,resourc,2
18,limit,2
19,depart,2
20,said,7
21,develop,1
22,infrastructur,2
23,plan,2
24,next,1
25,decad,1
26,criteria,1
27,would,4
28,determin,1
29,prioriti,2
30,base,1
31,simul,1
32,forecast,1
33,tran,1
34,quang,1
35,lam,1
36,'s,1
37,director,1
38,given,1
39,belt,1
40,road,4
41,highway,1
42,urban,1
43,railway,1
44,metro,1
45,1,1
46,2,1
47,3b,1
48,5,1
49,includ,1
50,elev,1
51,other,1
52,connect,1
53,tan,1
54,son,1
55,nhat,1
56,airport,2
57,cat,1
58,lai,1
59,port,3
60,hiep,1
61,phuoc,1
62,hcm,2
63,mainli,1
64,depend,1
65,public,2
66,fund,1
67,ad,1
68,difficulti,1
69,mobilis,1
70,privat,1
71,capit,1
72,vice,1
73,chairman,1
74,municip,2
75,peopl,3
76,’,3
77,committe,3
78,vo,2
79,van,3
80,hoan,1
81,spent,1
82,37.5,1
83,invest,3
84,2016-2020,2
85,due,1
86,congest,2
87,hotspot,1
88,seaport,1
89,neighbour,1
90,provinc,1
91,work,4
92,close,1
93,district,2
94,promptli,1
95,resolv,1
96,problem,1
97,relat,1
98,land,1
99,acquisit,1
100,compens,1
101,speed,1
102,progress,1
103,ask,1
104,parti,1
105,council,1
106,permiss,1
107,consid,1
108,complet,2
109,number,1
110,key,1
111,pham,1
112,dong,1
113,street,2
114,lead,1
115,phu,1
116,huu,1
117,9,1
118,flyover,2
119,go,2
120,may,1
121,intersect,3
122,near,1
123,nation,1
124,univers,1
125,kiet,1
126,vap,1
127,accord,2
128,play,1
129,role,1
130,reduc,1
131,accid,1
132,manag,1
133,board,1
134,construct,1
135,29,1
136,start,1
137,27,2
138,new,2
139,year,1
140,alreadi,1
141,kick,1
142,13,1
143,total,1
144,vnd3.5,1
145,trillion,1
146,us,1
147,149,1
148,million,1
149,power,1
150,epi,1
151,technolog,1
