,Word,Frequency
0,vov.vn,1
1,nation,2
2,post,1
3,trade,1
4,surplu,1
5,us,10
6,170,1
7,million,3
8,first,2
9,half,3
10,june,3
11,bring,1
12,figur,1
13,record,1
14,begin,2
15,year,2
16,mid-jun,1
17,3.75,1
18,billion,7
19,accord,1
20,latest,1
21,initi,1
22,statist,1
23,releas,1
24,gener,1
25,depart,1
26,custom,1
27,review,1
28,period,3
29,export,2
30,turnov,1
31,hit,2
32,10.37,1
33,5.3,1
34,578,1
35,compar,1
36,last,2
37,15,2
38,day,1
39,may.export,1
40,valu,4
41,endur,1
42,drop,1
43,number,1
44,item,1
45,phone,1
46,compon,2
47,rice,1
48,machineri,1
49,equip,1
50,tool,1
51,spare,1
52,part,1
53,comput,1
54,electron,1
55,product,1
56,import,1
57,10.2,1
58,13.7,1
59,equival,2
60,increas,1
61,1.23,1
62,second,1
63,may.from,1
64,end,1
65,total,2
66,110.56,1
67,suffer,1
68,slight,1
69,fall,1
70,0.7,1
71,777,1
72,comparison,1
73,year.a,1
74,result,1
75,import-export,1
76,whole,1
77,countri,1
78,reach,1
79,217.36,1
80,2.3,1
81,5.11,1
82,correspond,1
83,2019,1
84,power,1
85,epi,1
86,technolog,1
