,Word,Frequency
0,footballberlin,1
1,—,2
2,bayern,8
3,munich,1
4,coach,2
5,hansi,1
6,flick,3
7,want,4
8,side,4
9,``,6
10,seal,2
11,deal,2
12,'',4
13,wrap,1
14,eighth,1
15,consecut,1
16,bundesliga,3
17,titl,2
18,tuesday,3
19,victori,2
20,relegation-threaten,1
21,werder,1
22,bremen.top,1
23,scorer,2
24,robert,1
25,lewandowski,2
26,thoma,1
27,mueller,2
28,one,2
29,shi,1
30,record,1
31,assist,2
32,singl,1
33,season,2
34,avail,1
35,miss,1
36,'s,5
37,2-1,2
38,win,4
39,borussia,2
40,moenchengladbach,1
41,due,1
42,suspension.victori,1
43,bremen,4
44,12,1
45,game,4
46,last,4
47,decad,1
48,clinch,1
49,record-extend,1
50,30th,1
51,leagu,4
52,first,1
53,leg,1
54,potenti,1
55,trebl,2
56,debut,1
57,charg,1
58,finish,1
59,job,1
60,goal,3
61,excel,1
62,run,1
63,continu,1
64,streak,1
65,said,3
66,step,1
67,niko,1
68,kovac,1
69,sack,1
70,novemb,1
71,target,1
72,10,3
73,anoth,1
74,would,1
75,leav,1
76,unassail,1
77,point,2
78,clear,1
79,second-plac,1
80,dortmund,1
81,three,1
82,match,1
83,left,1
84,host,1
85,struggler,1
86,mainz,1
87,wednesday,1
88,plan,1
89,bring,1
90,trophi,1
91,back,1
92,home,1
93,midfield,1
94,leon,1
95,goretzka.lewandowski,1
96,lead,1
97,30,1
98,term,1
99,net,1
100,twice,1
101,sit,1
102,20,1
103,also,3
104,got,1
105,scoresheet,1
106,thrash,1
107,6-1,1
108,met,1
109,december.poland,1
110,star,1
111,struck,1
112,45,1
113,competit,1
114,campaign,1
115,need,1
116,establish,1
117,new,1
118,person,1
119,best,1
120,reach,2
121,30-goal,1
122,plateau,1
123,2015-16,1
124,2016-17.despit,1
125,labour,1
126,display,1
127,two,1
128,includ,1
129,semi-fin,1
130,frankfurt,1
131,german,1
132,cup,1
133,legitim,1
134,shot,1
135,land,1
136,second,1
137,seven,1
138,years.first,1
139,well,1
140,within,1
141,champion,1
142,quarter-fin,1
143,must,1
144,take,1
145,care,1
146,fight,1
147,survival.bremen,1
148,taken,1
149,possibl,1
150,18,1
151,recent,1
152,boost,1
153,hope,1
154,5-1,1
155,rout,1
156,bottom,1
157,paderborn,1
158,saturday,1
159,head,1
160,florian,1
161,kohfeldt,2
162,play,1
163,talk,1
164,upset,1
165,reason,1
166,go,1
167,kind,1
168,euphoria,1
169,n't,1
170,anyth,1
171,yet,1
172,'re,1
173,still,1
174,releg,1
175,zone,1
176,37-year-old,1
177,lost,1
178,five,1
179,afp,1
