,Word,Frequency
0,footballmadrid,1
1,—,1
2,sevilla,1
3,suffer,1
4,setback,1
5,bid,1
6,qualifi,1
7,next,1
8,season,1
9,'s,4
10,champion,2
11,leagu,4
12,group,1
13,stage,1
14,late,3
15,goal,4
16,diego,1
17,carlo,3
18,allow,1
19,visit,2
20,levant,2
21,grab,1
22,1-1,1
23,draw,3
24,monday.julen,1
25,lopetegui,1
26,side,3
27,sit,1
28,third,1
29,la,1
30,liga,1
31,hold,1
32,five-point,1
33,lead,2
34,fifth-plac,1
35,getaf,1
36,although,1
37,closest,2
38,rival,1
39,still,1
40,play,3
41,round,1
42,matches.th,1
43,five-tim,1
44,europa,1
45,winner,1
46,last,1
47,2017-18,1
48,four,1
49,point,4
50,clear,2
51,fourth-plac,1
52,real,2
53,sociedad,2
54,atletico,1
55,madrid,1
56,valencia,1
57,granada,3
58,villarr,2
59,also,1
60,top-four,1
61,hunt.th,1
62,either,1
63,came,1
64,first,2
65,period,1
66,winger,1
67,munir,1
68,el,2
69,haddadi,2
70,brilliant,1
71,free-kick,1
72,crash,1
73,crossbar.sevilla,1
74,take,1
75,minut,3
76,second,1
77,half,1
78,former,1
79,barcelona,1
80,player,1
81,teed,1
82,dutch,1
83,striker,2
84,luuk,1
85,de,1
86,jong,1
87,score,1
88,sixth,1
89,season.levant,1
90,manag,1
91,creat,1
92,pressur,1
93,centre-back,1
94,put,2
95,net,1
96,three,3
97,time,2
98,mix-up,1
99,goalkeep,1
100,toma,1
101,vaclik.th,1
102,help,1
103,12th-place,1
104,move,3
105,10,1
106,safeti,1
107,nine,1
108,match,1
109,play.lat,1
110,monday,1
111,roberto,1
112,soldado,2
113,rescu,1
114,2-2,1
115,beti,1
116,dramat,1
117,game,1
118,saw,1
119,final,2
120,six,1
121,minutes.th,1
122,away,1
123,look,1
124,set,1
125,within,1
126,led,1
127,fernandez,1
128,29th-minut,1
129,strike,1
130,sergio,1
131,canal,1
132,equalis,1
133,spot,1
134,five,1
135,cristian,1
136,tello,1
137,host,1
138,front.form,1
139,spain,1
140,say,1
141,though,1
142,35-year-old,1
143,substitut,1
144,snatch,1
145,injuri,1
146,eighth,1
147,afp,1
