,Word,Frequency
0,hcm,2
1,citi,2
2,—,2
3,gang,5
4,bandit,1
5,stole,1
6,vnđ35,1
7,billion,1
8,us,1
9,1.5,1
10,million,1
11,arrest,2
12,thank,1
13,tip-off,1
14,public,2
15,ministri,1
16,secur,1
17,announc,1
18,monday.th,1
19,includ,2
20,ten,1
21,member,1
22,differ,1
23,local,1
24,accord,2
25,polic,3
26,acquaint,1
27,victim,5
28,know,1
29,target,1
30,kept,1
31,lot,1
32,money,3
33,e-wallet,2
34,investig,3
35,’,5
36,itinerari,1
37,chose,1
38,seclud,1
39,locat,1
40,commit,1
41,crime,1
42,mid-may,1
43,famili,2
44,three,1
45,drive,1
46,road,1
47,lead,1
48,long,1
49,thành-dầu,1
50,giâi,1
51,highway,1
52,crash,1
53,anoth,2
54,car,3
55,driver,1
56,wife,2
57,child,2
58,got,1
59,resolv,1
60,incid,1
61,two,2
62,group,1
63,gangster,1
64,appear,1
65,push,1
66,man,2
67,destroy,1
68,dash,1
69,camera,1
70,next,1
71,hour,1
72,tortur,1
73,forc,1
74,hand,1
75,mobil,1
76,provid,1
77,id,1
78,password,1
79,transfer,1
80,account,1
81,later,1
82,left,1
83,isol,1
84,area,1
85,district,1
86,2,1
87,notic,1
88,assault,1
89,culprit,2
90,attempt,1
91,caus,2
92,minim,1
93,physic,1
94,damag,1
95,moreov,1
96,focus,1
97,high-valu,1
98,asset,1
99,sunday,1
100,seven,1
101,hồ,1
102,ngọc,2
103,tài,1
104,31,2
105,trần,1
106,hoàng,1
107,37,1
108,nguyễn,1
109,văn,1
110,đức,1
111,24,2
112,trịnh,1
113,tuấn,1
114,anh,1
115,35,1
116,bùi,1
117,quang,1
118,chung,1
119,mai,1
120,xuân,1
121,phốt,1
122,28,1
123,trương,1
124,chí,1
125,hải,2
126,also,1
127,found,1
128,illeg,1
129,store,1
130,drug,1
131,testimoni,1
132,thought,1
133,lose,1
134,therefor,1
135,plan,1
136,reveng,1
137,conduct,1
138,case,1
139,vn,1
