,baykhuyến,báocủa,bélàm_đẹp_sức_khoẻthời,bạncách,chrome,chạy,cài_đặt,cào123456,dõiđơn,facebookđăng,gia_dụngnhà_cửa_đời,giao,giá_rẻ_hơn,giúp,googleđăng,gợi_ý,hiển_thị,hiệu30,hàng,hàng0danh,hàngthông,hôm,itmáy_ảnh_quay_phimđiện,khoảnđăng,khám_phá,kiếmtheo,kiệnthể,lý,mua_hàng_trực_tuyến,mua_sắm,máy,mãi_hothàng,mẹ,mục,ngàyđổi,nhanh2h,nhu_cầu,nhésản,nhập,nhậptài,nhậptạo,nàohãy,phẩm,phẩmbạn,phẩmchính,phẩmtươi,phẩmđồ,phụ,quà_tặngvoucher_dịch_vụ,quốc,sauthực,sạnđặt,sản,sản_phẩm,sốlaptop_thiết,sốnghàng_tiêu_dùng_thực,sốngsản,thao_dã_ngoạixe_máy,thiết_bị,thoại_máy_tính_bảngđiện,thẻ,tiki,tiki_assistant,tiki_tìm,tikitiki_assistant,tikivnticketboxtrợ,tiện_ích,trang,trình_duyệt,trải_nghiệm,trảđiện,tài,tìm_kiếm,tôiđăng,tếbán,tếsách,tử_điện_lạnhphụ_kiện,tự_động,uy_tín,vpp,vé,xe,xembạn,zalogiỏ,ô_tô,đâubạn,đâygiao,đạphàng,địa_chỉ,đối_tác,ưu_đãi
0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
