,Word,Frequency
0,lo,5
1,angel,5
2,—,2
3,us,1
4,actor,1
5,scientologist,1
6,danni,1
7,masterson,7
8,charg,2
9,rape,3
10,three,1
11,women,3
12,home,1
13,hollywood,1
14,hill,1
15,prosecutor,1
16,said,2
17,wednesday.th,1
18,star,2
19,televis,2
20,'s,5
21,allegedli,1
22,twenti,1
23,time,2
24,``,5
25,forc,1
26,fear,1
27,'',2
28,separ,1
29,incid,1
30,2001,1
31,2003.masterson,1
32,44,1
33,face,1
34,maximum,1
35,sentenc,1
36,45,1
37,year,2
38,life,1
39,prison,1
40,convict,1
41,charges.masterson,1
42,lawyer,2
43,deni,1
44,alleg,5
45,statement,1
46,afp,1
47,mr,3
48,innoc,1
49,'re,1
50,confid,1
51,exoner,1
52,evid,2
53,final,1
54,come,2
55,light,1
56,wit,1
57,opportun,1
58,testifi,1
59,wrote,2
60,tom,1
61,mesereau.prosecutor,1
62,drop,1
63,two,1
64,sexual,1
65,assault,1
66,case,1
67,lack,1
68,statut,1
69,limit,1
70,pass,1
71,counti,1
72,district,1
73,attorney,1
74,offic,1
75,said.masterson,1
76,rose,1
77,fame,1
78,1998,1
79,launch,1
80,retro,1
81,sitcom,1
82,play,1
83,charact,2
84,steven,1
85,hyde,1
86,alongsid,1
87,fellow,1
88,mila,1
89,kuni,1
90,ashton,1
91,kutcher.h,1
92,co-star,1
93,kutcher,1
94,netflix,1
95,fire,1
96,2017,1
97,written,1
98,show,1
99,polic,1
100,confirm,1
101,investig,1
102,multipl,1
103,actor.at,1
104,claim,1
105,motiv,1
106,produc,1
107,anti-scientolog,1
108,series.four,1
109,last,1
110,file,2
111,lawsuit,1
112,church,1
113,scientolog,1
114,stalk,1
115,harass,1
116,intimid,1
117,report,1
118,abus,1
119,police.masterson,1
120,wednesday,1
121,obvious,1
122,wife,1
123,complet,1
124,shock,1
125,consid,1
126,nearli,1
127,20-year,1
128,old,1
129,suddenli,1
130,result,1
131,famili,1
132,comfort,1
133,know,4
134,ultim,1
135,truth,1
136,peopl,1
137,fals,1
138,arraign,1
139,schedul,1
140,septemb,1
