,Word,Frequency
0,sar,27
1,acut,1
2,viral,1
3,respiratori,1
4,ill,5
5,brought,1
6,coronavirus.symptom,1
7,includ,1
8,fever,1
9,cough,1
10,sever,2
11,headach,1
12,dizzi,1
13,flu-lik,1
14,complaint,1
15,present,1
16,atyp,1
17,pneumonia,1
18,respond,1
19,standard,1
20,treatments.ther,1
21,"8,098",1
22,confirm,6
23,case,11
24,novemb,1
25,2002,1
26,juli,1
27,2003,1
28,774,1
29,death,2
30,becom,1
31,known,1
32,first,5
33,report,5
34,foshan,1
35,china,9
36,five,1
37,peopl,4
38,die,5
39,300,1
40,guangdong,5
41,provinc,9
42,liu,1
43,jianlun,1
44,develop,1
45,symptom,1
46,trip,1
47,huang,1
48,xingchu,1
49,visit,1
50,famili,3
51,hong,4
52,kong,4
53,consid,1
54,patient,2
55,zero,2
56,person,2
57,diseas,3
58,infect,2
59,hotel,1
60,hospit,2
61,one,2
62,member,1
63,world,1
64,health,9
65,organ,1
66,issu,2
67,emerg,1
68,travel,7
69,advisori,5
70,call,1
71,``,3
72,global,1
73,threat,2
74,'',1
75,offici,1
76,quarantin,5
77,"1,000",2
78,school,1
79,close,2
80,singapore.dr,1
81,carlo,1
82,urbani,1
83,physician,1
84,identifi,2
85,viru,2
86,bangkok,1
87,american,2
88,airlin,1
89,flight,1
90,tokyo,1
91,mineta,1
92,san,1
93,jose,1
94,airport,1
95,three,1
96,passeng,1
97,transport,1
98,area,2
99,evalu,1
100,later,1
101,releas,1
102,execut,1
103,order,2
104,ad,1
105,list,4
106,communic,1
107,work,1
108,independ,1
109,canadian,1
110,scientist,2
111,announc,3
112,sequenc,1
113,genom,1
114,thought,1
115,caus,1
116,cancel,1
117,weeklong,1
118,nation,2
119,holiday,1
120,celebr,1
121,beij,6
122,'s,4
123,rise,1
124,37,1
125,339,1
126,less,1
127,week,2
128,wholesal,1
129,veget,1
130,market,1
131,singapor,1
132,"2,400",1
133,cdc,2
134,alert,1
135,toronto,4
136,warn,2
137,shangxi,1
138,increas,1
139,extend,1
140,vietnam,1
141,contain,3
142,outbreak,3
143,lift,3
144,remov,3
145,canada,2
146,countri,1
147,local,2
148,transmiss,2
149,occur,1
150,southern,1
151,town,1
152,border,1
153,29,1
154,activ,1
155,"7,000",1
156,home,1
157,major,1
158,confer,1
159,open,1
160,malaysia,1
161,clinician,1
162,attend,1
163,taiwan,1
164,recent,1
165,taiwanes,1
166,depart,1
167,civet,1
168,cat,1
169,link,1
170,genet,1
171,test,1
172,chines,4
173,ministri,5
174,kill,1
175,thousand,1
176,mammal,1
177,man,1
178,two,4
179,eastern,1
180,anhui,2
181,capit,1
182,possibl,2
183,investig,1
184,new,2
185,bring,1
186,total,1
187,number,1
188,nine,1
189,woman,1
190,last,1
191,relat,1
192,year,1
193,select,2
194,agent,2
195,program,1
196,declar,1
197,bacterium,1
198,toxin,1
199,potenti,1
200,pose,1
201,public,1
202,safeti,1
203,research,1
204,locat,1
205,popul,1
206,bat,1
207,yunnan,1
208,cave,1
209,sars-rel,1
210,coronavirus,1
211,newly-discov,1
212,strain,2
213,trigger,1
