,Word,Frequency
0,monday,1
1,secretari,1
2,state,3
3,mike,1
4,pompeo,6
5,said,7
6,washington,3
7,``,17
8,extrem,1
9,concern,1
10,'',7
11,decis,1
12,file,2
13,espionag,1
14,charg,5
15,michael,2
16,kovrig,3
17,spavor,3
18,detain,1
19,china,9
20,sinc,1
21,2018,2
22,polit,2
23,motiv,1
24,complet,1
25,groundless,1
26,unit,2
27,stand,2
28,canada,4
29,call,3
30,beij,2
31,immedi,2
32,releas,3
33,two,5
34,men,3
35,reject,1
36,use,1
37,unjustifi,1
38,detent,1
39,coerc,1
40,chief,1
41,financi,1
42,offic,1
43,chines,4
44,technolog,1
45,compani,2
46,huawei,1
47,late,1
48,us,3
49,prosecutor,1
50,want,1
51,meng,1
52,trial,1
53,multipl,1
54,includ,1
55,bank,1
56,fraud,1
57,violat,1
58,sanction,1
59,iran.l,1
60,last,3
61,month,3
62,canadian,4
63,judg,1
64,rule,2
65,extradit,1
66,case,2
67,could,1
68,proceed,1
69,'s,8
70,repres,1
71,countri,1
72,grave,1
73,incid,1
74,within,1
75,week,3
76,new,1
77,announc,1
78,former,1
79,diplomat,1
80,ngo,1
81,worker,1
82,found,1
83,north,1
84,korea,1
85,tourism,1
86,legal,1
87,system,1
88,beholden,1
89,communist,1
90,parti,1
91,known,1
92,exceedingli,1
93,high,1
94,convict,1
95,rate,1
96,friday,1
97,foreign,2
98,ministri,2
99,spokesman,2
100,zhao,3
101,lijian,1
102,evid,1
103,solid,1
104,fact,1
105,clear,1
106,deni,2
107,report,1
108,access,4
109,consular,5
110,assist,1
111,say,1
112,visit,4
113,suspend,1
114,due,1
115,coronaviru,1
116,pandem,1
117,guy,1
118,saint-jacqu,1
119,serv,2
120,ambassador,1
121,2012,1
122,2016,1
123,highli,1
124,limit,1
125,lawyer,1
126,famili,2
127,receiv,1
128,everi,4
129,exactli,1
130,30,1
131,minut,1
132,someon,1
133,watch,1
134,discuss,1
135,mainli,1
136,give,2
137,news,1
138,book,1
139,read,1
140,materi,1
141,difficult,1
142,wait,1
143,idea,1
144,might,1
145,statement,1
146,echo,1
147,citizen,1
148,accord,1
149,vienna,1
150,convent,1
151,relat,1
152,prohibit,1
153,almost,1
154,six,1
155,world,1
156,knowledg,1
157,condit,1
158,hawkish,1
159,default,1
160,emerg,1
161,tough,1
162,voic,1
163,blast,1
164,move,1
165,south,2
166,sea,1
167,hong,1
168,kong,1
169,well,1
170,follow,1
171,--,3
172,detail,1
173,take,1
174,golden,1
175,blinder,1
176,econom,1
177,tie,1
178,see,1
179,challeng,2
180,n't,1
181,gate,1
182,capit,1
183,borough,1
184,provinc,1
185,europ,1
186,face,1
187,american,1
188,african,1
189,middl,1
190,eastern,1
191,asian,1
192,friend,1
193,hard,1
194,line,1
195,made,1
196,figur,1
197,loath,1
198,media,1
199,editori,1
200,deep-root,1
201,cold,1
202,war,1
203,mental,1
204,ideolog,1
205,bia,1
