,Word,Frequency
0,singl,1
1,largest,1
2,margin,2
3,victori,1
4,ever,1
5,--,3
6,men,3
7,'s,24
8,women,13
9,game,5
10,aftermath,1
11,uswnt,1
12,would,2
13,subject,1
14,critic,1
15,celebr,1
16,much,1
17,ruthless,1
18,thump,1
19,thailand.aft,1
20,match,4
21,reim,1
22,striker,1
23,alex,1
24,morgan,1
25,contribut,1
26,five,1
27,goal,4
28,tie,1
29,world,6
30,cup,6
31,record,1
32,spoke,1
33,report,1
34,said,4
35,sport,6
36,perspect,1
37,right,1
38,hard,1
39,feel,1
40,littl,1
41,thai,8
42,player,7
43,given,1
44,countri,2
45,second-ev,1
46,appear,2
47,``,22
48,nightmar,1
49,us,4
50,'',14
51,nation,3
52,team,9
53,forward,1
54,told,2
55,cnn,2
56,satisfi,1
57,result,1
58,help,2
59,understand,1
60,higher,2
61,qualiti,1
62,footbal,7
63,thought,1
64,gave,2
65,lesson,1
66,improv,3
67,televis,2
68,present,1
69,peerapol,1
70,champ,2
71,euariyakul,4
72,ad,2
73,think,6
74,lot,2
75,ignit,1
76,situat,1
77,tell,1
78,push,1
79,next,3
80,time,2
81,even,1
82,lose,2
83,smaller,2
84,thailand,6
85,beaten,1
86,5-1,1
87,sweden,1
88,singular,1
89,hope,3
90,inspir,1
91,peopl,2
92,make,2
93,imposs,1
94,possibl,1
95,score,2
96,one,1
97,like,3
98,win,2
99,nualphan,1
100,lamsam,4
101,gener,1
102,manag,1
103,past,1
104,two,1
105,seen,1
106,camera,1
107,cri,1
108,tear,1
109,joy,1
110,proud,2
111,see,1
112,everyon,2
113,play,6
114,full,1
115,capabl,1
116,pressur,1
117,accumul,1
118,sinc,2
119,heavi,1
120,loss,1
121,first,1
122,unit,1
123,state,1
124,import,2
125,realli,1
126,matter,1
127,wonder,1
128,spirit,1
129,sornsai,4
130,believ,2
131,come,2
132,domest,1
133,leagu,10
134,famili,1
135,compani,1
136,sponsor,1
137,fledgl,1
138,also,1
139,employ,1
140,company.th,1
141,current,1
142,semi-profession,1
143,equal,1
144,pay,1
145,domin,1
146,headlin,1
147,say,2
148,goe,1
149,deeper,1
150,key,1
151,success,2
152,profession,4
153,n't,4
154,go,3
155,salari,1
156,person,1
157,want,3
158,full-tim,1
159,associ,1
160,need,5
161,compet,1
162,competit,2
163,agre,2
164,came,1
165,variou,1
166,youth,1
167,school-bas,1
168,2005,1
169,earn,1
170,115,1
171,cap,1
172,along,1
173,way,1
174,muang,1
175,becom,1
176,futur,2
177,set,2
178,academi,1
179,produc,1
180,mani,1
181,talent,1
182,second,1
183,standard,2
184,educ,1
185,organ,1
186,final,1
187,invest,1
188,facil,1
189,moment,1
190,popular,2
191,somsai,1
192,use,1
193,momentum,1
194,creat,1
195,effort,1
196,eight,1
197,year,2
198,helm,1
199,vein,1
200,establish,1
201,pride,1
202,know,2
203,although,1
204,worldwid,1
205,refer,1
206,get,2
207,fan,1
208,stand,1
209,visibl,1
210,thing,1
211,promot,1
212,watch,1
213,broadcast,2
214,bubbl,1
215,four,1
216,enough,1
217,strong,1
218,belief,1
219,england,1
220,everi,1
221,week,1
222,announc,1
223,host,1
224,2023,1
225,draw,1
226,near,1
227,34,1
228,tournament,1
229,level,1
230,yet,1
231,'re,1
232,'we,1
233,cours,1
234,close,1
235,big,1
236,gap,1
237,top,1
