,Word,Frequency
0,hà,1
1,nội,1
2,—,2
3,prime,2
4,minist,2
5,nguyễn,1
6,xuân,1
7,phúc,1
8,ask,1
9,concern,1
10,author,2
11,support,2
12,peopl,2
13,suffer,1
14,consequ,1
15,recent,1
16,earthquak,4
17,northern,1
18,provinc,1
19,lai,1
20,châu.som,1
21,hit,2
22,mường,2
23,tè,2
24,district,1
25,monday,1
26,tuesday,2
27,injur,3
28,sever,1
29,student,1
30,caus,1
31,damag,3
32,crop,1
33,hous,2
34,public,2
35,infrastructure.in,1
36,offici,1
37,dispatch,1
38,extend,1
39,sympathi,1
40,affect,1
41,household,1
42,especi,1
43,famili,1
44,children.h,1
45,urg,1
46,provinci,1
47,’,1
48,committe,3
49,provid,2
50,local,2
51,resid,1
52,adequ,1
53,inform,1
54,respons,2
55,guidelin,1
56,task,1
57,inspect,1
58,infrastructur,1
59,earthquake-hit,2
60,area,1
61,includ,1
62,reservoir,2
63,hydro-pow,1
64,plant,1
65,promptli,1
66,repair,1
67,needed.th,1
68,ministri,2
69,agricultur,1
70,rural,1
71,develop,2
72,industri,1
73,trade,1
74,assign,2
75,ensur,1
76,safeti,1
77,dam,1
78,areas.th,1
79,pm,1
80,request,1
81,central,1
82,steer,1
83,natur,2
84,disast,2
85,prevent,1
86,control,1
87,việt,1
88,nam,1
89,institut,1
90,geophys,1
91,monitor,1
92,accord,1
93,tasks.loc,1
94,said,1
95,commun,2
96,shaken,2
97,nearli,1
98,20,1
99,past,1
100,three,1
101,day,1
102,strongest,1
103,tremor,1
104,regist,1
105,magnitud,1
106,4.9,1
107,around,1
108,noon,1
109,june,1
110,16,1
111,.the,1
112,quak,1
113,number,1
114,work,1
115,area.four,1
116,children,1
117,kindergarten,1
118,plaster,1
119,ceil,1
120,collaps,1
121,incid,1
122,taken,1
123,healthcar,1
124,station,1
125,examination.about,1
126,1.8,1
127,hectar,1
128,rice,1
129,field,1
130,300,1
131,fruit,1
132,tree,1
133,also,1
134,vn,1
