,Word,Frequency
0,hà,2
1,nội,2
2,—,2
3,techcombank,8
4,tcb,1
5,set,1
6,pre-tax,1
7,profit,6
8,target,3
9,vnđ13,1
10,trillion,5
11,us,1
12,559.3,1
13,million,2
14,2020,1
15,increas,6
16,slightli,1
17,one,1
18,per,6
19,cent,6
20,last,1
21,year.thi,1
22,approv,3
23,annual,1
24,gener,1
25,meet,2
26,sharehold,4
27,agm,2
28,held,1
29,saturday.answ,1
30,’,7
31,question,1
32,bank,14
33,'s,4
34,modest,1
35,growth,2
36,goal,1
37,hồ,1
38,hùng,1
39,anh,3
40,chairman,2
41,board,1
42,director,1
43,said,4
44,cautiou,2
45,plan,5
46,due,2
47,impact,1
48,covid-19,1
49,pandem,2
50,addit,1
51,would,3
52,also,3
53,focu,2
54,strongli,1
55,digit,2
56,transform,2
57,lead,1
58,invest,3
59,cost,1
60,interest,1
61,rate,1
62,support,1
63,custom,7
64,affect,1
65,diseas,1
66,result,2
67,declin,1
68,margin.,1
69,“,3
70,howev,1
71,econom,1
72,situat,1
73,việt,2
74,nam,2
75,world,1
76,recov,1
77,soon,1
78,busi,2
79,chang,1
80,third,1
81,fourth,1
82,quarter,1
83,year,2
84,”,3
85,said.th,1
86,total,1
87,asset,2
88,vnđ431.4,1
89,post,1
90,12,1
91,year-on-year,1
92,deposit,1
93,grow,1
94,vnđ268.8,1
95,loan,2
96,balanc,1
97,vnđ291.5,1
98,13,1
99,2019,1
100,line,2
101,current,1
102,credit,1
103,allow,1
104,state,1
105,sbv,1
106,keep,1
107,non-perform,1
108,npl,1
109,3,1
110,stipul,1
111,central,1
112,guidance.techcombank,1
113,retain,1
114,earn,1
115,fundament,1
116,capabl,1
117,continu,2
118,futur,1
119,momentum,1
120,strong,1
121,peopl,1
122,system,1
123,account,1
124,remark,1
125,success,1
126,journey,1
127,top,2
128,sector,2
129,term,1
130,oper,1
131,effici,1
132,return,1
133,roa,1
134,2.9,1
135,among,1
136,2,1
137,2019.it,1
138,charter,1
139,capit,2
140,vnđ35,1
141,conjunct,1
142,issuanc,1
143,4.7,1
144,esop,1
145,share,2
146,key,1
147,outstand,1
148,employe,2
149,resolut,1
150,pass,1
151,previou,1
152,issu,1
153,purchas,1
154,right,2
155,award,1
156,elig,1
157,perform,1
158,2017.chairman,1
159,strategi,1
160,segment,2
161,good,3
162,control,4
163,largest,1
164,market,3
165,share.for,1
166,exampl,1
167,five,2
168,ago,1
169,identifi,1
170,real,2
171,estat,2
172,advantag,1
173,rapid,1
174,develop,3
175,could,1
176,fulli,1
177,abl,1
178,risk,3
179,realiti,1
180,show,1
181,option,1
182,select,2
183,past,1
184,years.h,1
185,alway,2
186,chosen,1
187,big,1
188,high,3
189,prestig,1
190,creat,1
191,attract,1
192,product,1
193,servic,2
194,much,1
195,spread,1
196,risks.,1
197,follow,1
198,trend,1
199,low,1
200,instead,2
201,work,3
202,10,2
203,best,1
204,three,1
205,field,1
206,2-3,1
207,said.with,1
208,concern,1
209,expect,1
210,freez,1
211,forecast,1
212,everyth,1
213,accord,1
214,basel,2
215,ii.,1
216,adequaci,1
217,ratio,1
218,car,1
219,nearli,2
220,16,1
221,doubl,1
222,minimum,1
223,requir,1
224,ii,1
225,pillar,1
226,1,1
227,control.,1
228,expand,1
229,ecolog,1
230,model,2
231,approach,1
232,fast-mov,1
233,consum,1
234,valu,1
235,chain,2
236,reduc,1
237,depend,1
238,hous,1
239,recom,1
240,acceler,1
241,demand,1
242,enhanc,1
243,experi,1
244,vn,1
