,Word,Frequency
0,hà,1
1,nội,1
2,—,2
3,non-lif,2
4,insur,9
5,cut,2
6,back,1
7,cash,10
8,dividend,9
9,rate,9
10,2020,5
11,maximum,1
12,five,2
13,percentag,2
14,point,2
15,prepar,2
16,global,1
17,econom,2
18,downturn.accord,1
19,busi,1
20,insid,1
21,paid,1
22,compani,8
23,complet,1
24,tax,1
25,duti,1
26,settl,1
27,financi,1
28,oblig,1
29,therefor,1
30,firm,4
31,must,1
32,mani,1
33,issu,1
34,review,1
35,decid,1
36,pay,1
37,bonuses.a,1
38,economi,1
39,ravag,1
40,covid-19,2
41,pandem,1
42,local,2
43,tri,1
44,secur,2
45,rough,1
46,period,1
47,ahead,1
48,thu,1
49,’,6
50,polici,2
51,consid,1
52,posit,1
53,thing,1
54,market,2
55,compar,1
56,last,1
57,year,3
58,get,1
59,lower.lead,1
60,insurance-fin,1
61,group,1
62,bảo,1
63,minh,3
64,hose,3
65,bmi,1
66,annual,1
67,sharehold,3
68,meet,1
69,late,1
70,april,1
71,announc,1
72,total,4
73,revenu,4
74,2019,4
75,7.5,1
76,per,12
77,cent,7
78,on-year,5
79,nearli,3
80,vnđ4.6,1
81,trillion,4
82,us,1
83,197.5,1
84,million,1
85,pre-tax,4
86,profit,4
87,gain,1
88,9.9,1
89,vnđ220.6,1
90,billion,4
91,perform,1
92,set,1
93,15,2
94,cent.but,2
95,forecast,1
96,fall,1
97,vnđ3.9,1
98,vnđ188,1
99,respect,1
100,lower,1
101,earn,4
102,project,2
103,made,1
104,bao,1
105,expect,3
106,10,2
107,cent.accord,2
108,ceo,1
109,lê,2
110,văn,1
111,thành,1
112,chairman,1
113,song,1
114,lai,1
115,hit,1
116,custom,1
117,spend,1
118,limit,2
119,downturn,1
120,peopl,1
121,go,1
122,healthcar,1
123,centr,1
124,hospit,1
125,check-up,1
126,treatment.petrolimex,1
127,pjico,2
128,pgi,1
129,report,1
130,rose,1
131,tenth,1
132,vnđ3.66,1
133,12,2
134,vnđ200,1
135,13,1
136,contract,1
137,vnđ3.47,1
138,vnđ180.8,1
139,also,2
140,slash,1
141,cent.at,1
142,militari,1
143,corpor,2
144,upcom,2
145,mig,1
146,promis,1
147,8-10,1
148,instead,1
149,fix,1
150,2019.asid,1
151,less-wors,1
152,cash-dividend,1
153,interest,1
154,increas,2
155,investor,3
156,bet,1
157,allow,1
158,rais,3
159,foreign,6
160,capit,2
161,presenc,1
162,wide,1
163,boost,1
164,performances.accord,1
165,ki,1
166,vietnam,1
167,co,1
168,soon,1
169,sell,1
170,share,3
171,strateg,1
172,launch,1
173,ipo,1
174,divis,1
175,lure,1
176,capital.th,1
177,post,1
178,telecommun,1
179,hnx,1
180,pti,1
181,propos,2
182,elimin,1
183,ownership,2
184,cap,1
185,49,1
186,100,1
187,heighten,1
188,need,1
189,futur,1
190,credit,1
191,charter,1
192,approv,1
193,help,1
194,improv,1
195,liquid,1
196,attract,1
197,market.militari,1
198,plan,1
199,move,1
200,unlist,1
201,public,1
202,hồ,1
203,chí,1
204,stock,1
205,exchang,1
206,meanwhil,1
207,agre,1
208,lift,1
209,bar,1
210,draw,1
211,invest,1
212,vn,1
