,doc_123.txt,doc_127.txt,doc_129.txt,doc_130.txt,doc_163.txt,doc_165.txt,doc_166.txt,doc_167.txt,doc_168.txt,doc_21.txt,doc_23.txt,doc_24.txt,doc_25.txt,doc_27.txt,doc_28.txt,doc_29.txt,doc_30.txt
doc_123.txt,1.0000000000000004,0.007027795638311828,0.005919113431721437,0.04084968327455867,0.0376633142490063,0.013191220693933333,0.079924479616208,0.02074787444682881,0.06288736572140684,0.024747070998017612,0.07550089788718597,0.037821543226140966,0.03845855784014638,0.08347035927990516,0.051671007179579044,0.024018667661243876,0.09956600571135678
doc_127.txt,0.007027795638311828,1.0000000000000004,0.02678155442071319,0.11571738360401883,0.11230762733280043,0.0021148083717784797,0.08050111827874634,0.02537007506957309,0.015617780371357803,0.014157786481532724,0.06754700790853789,0.16318312063582985,0.02413779065707638,0.02762038621920693,0.01957593636947793,0.004281102015413947,0.02502847379537874
doc_129.txt,0.005919113431721437,0.02678155442071319,0.9999999999999997,0.028055061496567592,0.013469998495077908,0.014658767498958497,0.019718574622999002,0.005468254777171086,0.01983447508572286,0.017240846574646307,0.015953485864347042,0.16142509414063536,0.032232566767340196,0.021329011544865238,0.039290077850456934,0.015219592407946422,0.01838288042387026
doc_130.txt,0.04084968327455867,0.11571738360401883,0.028055061496567592,0.9999999999999996,0.10006873209530925,0.026695271707149908,0.03236004192844277,0.01465579129509788,0.0623756217164002,0.014897600662670336,0.0524036796871685,0.02734377713804336,0.036286058132482556,0.05559524317045636,0.05152523517120688,0.03654156849283414,0.049355932226346516
doc_163.txt,0.0376633142490063,0.11230762733280043,0.013469998495077908,0.10006873209530925,1.0,0.01521146483391636,0.12332448804117578,0.008229347535289835,0.04185343186185066,0.027234337900536004,0.05209015390148545,0.03829715958908428,0.033918714170969116,0.03817780841657946,0.030960832166025402,0.014893461064087945,0.0297269149612675
doc_165.txt,0.013191220693933333,0.0021148083717784797,0.014658767498958497,0.026695271707149908,0.01521146483391636,0.9999999999999998,0.01272033775743701,0.06055260215209455,0.03349388878115712,0.08227685043278433,0.018799582169087135,0.00994963703552786,0.02800732763065228,0.06978168946210636,0.03152543717387356,0.028625810588007554,0.018666334664393193
doc_166.txt,0.079924479616208,0.08050111827874634,0.019718574622999002,0.03236004192844277,0.12332448804117578,0.01272033775743701,1.0000000000000004,0.009619254023700305,0.11590135613384192,0.019357281244422472,0.09426463877429303,0.10005147583184593,0.058973080923849584,0.02641370884887771,0.08196999181645476,0.025351066741216698,0.02684875714752054
doc_167.txt,0.02074787444682881,0.02537007506957309,0.005468254777171086,0.01465579129509788,0.008229347535289835,0.06055260215209455,0.009619254023700305,1.0000000000000002,0.023573265165583796,0.13997667631577249,0.01217017478826286,0.01918291789574083,0.019492829069985253,0.027356973974535317,0.009767757337209908,0.03516004364935171,0.04431617984422812
doc_168.txt,0.06288736572140684,0.015617780371357803,0.01983447508572286,0.0623756217164002,0.04185343186185066,0.03349388878115712,0.11590135613384192,0.023573265165583796,0.9999999999999996,0.0250512762747616,0.06070681242302076,0.08905380638848048,0.04727353890953806,0.013686089996791105,0.049322483565330345,0.01840384661617392,0.009802979217586345
doc_21.txt,0.024747070998017612,0.014157786481532724,0.017240846574646307,0.014897600662670336,0.027234337900536004,0.08227685043278433,0.019357281244422472,0.13997667631577249,0.0250512762747616,1.0,0.011130957133000798,0.008163504399702341,0.047726376811926395,0.038288314145998426,0.020323097467648772,0.02511924213266224,0.06868900936897405
