,dash_doc_1.txt,dash_doc_10.txt,dash_doc_11.txt,dash_doc_12.txt,dash_doc_13.txt,dash_doc_14.txt,dash_doc_15.txt,dash_doc_16.txt,dash_doc_17.txt,dash_doc_18.txt,dash_doc_19.txt,dash_doc_2.txt,dash_doc_20.txt,dash_doc_21.txt,dash_doc_22.txt,dash_doc_23.txt,dash_doc_24.txt,dash_doc_25.txt,dash_doc_26.txt,dash_doc_27.txt,dash_doc_28.txt,dash_doc_29.txt,dash_doc_3.txt,dash_doc_30.txt,dash_doc_31.txt,dash_doc_32.txt,dash_doc_33.txt,dash_doc_34.txt,dash_doc_35.txt,dash_doc_4.txt,dash_doc_5.txt,dash_doc_6.txt,dash_doc_7.txt,dash_doc_8.txt,dash_doc_9.txt,doc_1.txt,doc_10.txt,doc_11.txt,doc_12.txt,doc_13.txt,doc_14.txt,doc_15.txt,doc_16.txt,doc_17.txt,doc_18.txt,doc_19.txt,doc_2.txt,doc_20.txt,doc_21.txt,doc_22.txt,doc_23.txt,doc_24.txt,doc_25.txt,doc_26.txt,doc_27.txt,doc_28.txt,doc_29.txt,doc_3.txt,doc_30.txt,doc_31.txt,doc_32.txt,doc_33.txt,doc_34.txt,doc_35.txt,doc_4.txt,doc_5.txt,doc_6.txt,doc_7.txt,doc_8.txt,doc_9.txt
doc_20.txt,0.011564689357774202,0.011347078429143703,0.0,0.012137558188718391,0.0,0.0,0.023260518105123876,0.005111565584011766,0.004674100041766038,0.007672126127619618,0.038545673379472796,0.013063859140609741,0.31076488191156715,0.006338951150511204,0.017720359347814504,0.01621741454355639,0.07090094818337225,0.006324597939339177,0.006751948667683031,0.0,0.027883116375893118,0.0,0.0,0.030186703687141155,0.0,0.013408374988633771,0.0,0.0,0.023303226226049873,0.0,0.029930444391949376,0.01833283708230576,0.0038673440951291368,0.02789256237775887,0.0,0.08374558729487737,0.19678629291225624,0.13717131633523508,0.17661029632322306,0.16776825674150977,0.10283948467478451,0.16405861737166547,0.05524375963501127,0.15965164136068083,0.040265283719670024,0.1985678743006387,0.04554175247089265,1.0000000000000004,0.09765420189603648,0.18953680032545278,0.15981824730188326,0.11309018754301252,0.019848678476862815,0.14355150761542818,0.032965843960004126,0.2842996759543509,0.10214011547971447,0.03406171689535916,0.06359676807919669,0.05874808241495821,0.16664274909398896,0.15819493632038975,0.16258435997287662,0.12717069015761848,0.051508232865286455,0.13292092747828216,0.07100990897169762,0.15038883279768156,0.07261494724561965,0.103879984059366
doc_21.txt,0.0,0.0,0.0,0.0,0.022813407812987758,0.03046995567985173,0.01221250995500385,0.023930631970800562,0.0,0.0,0.024316137914028146,0.0,0.0,0.18103633193205645,0.011252744462426852,0.0,0.0,0.014804820867701995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014764861597403898,0.0,0.0,0.009955822401493989,0.0,0.010702432021384907,0.0,0.018105605166147287,0.019181617188037382,0.0,0.02948623268022582,0.014903921885053512,0.055570284481745134,0.07433335283189235,0.09718536881295341,0.05538122415292181,0.08178194322088314,0.02001288302789131,0.05068334778269755,0.0,0.077091149558936,0.0,0.09765420189603648,1.0000000000000002,0.07424945000550434,0.1335822164678728,0.0,0.013523239045988154,0.04310387576048061,0.03215804859785268,0.061990030349503164,0.057767951420237024,0.021350689992599755,0.022353447069829935,0.0,0.07163635317129369,0.04456801706660065,0.061899313370600416,0.04905021426347355,0.0,0.07324603990940518,0.019966295497662444,0.036222287214951944,0.022085237619218653,0.04201963662297083
doc_22.txt,0.0,0.0,0.0,0.032341718244584726,0.006080262873097993,0.01641202837589379,0.0376702206772915,0.05448107810036561,0.021096496736987783,0.006513105048944644,0.04819709991947239,0.08018118415919305,0.024938795204376838,0.003378151830679988,0.36567197872180723,0.11834464249023026,0.028633278842685173,0.0033705027219480157,0.007196492672309456,0.09633237783011397,0.004147690716429798,0.0,0.0,0.0,0.0,0.026891243952462677,0.0,0.0598078014386869,0.005741830042800766,0.07225404395183636,0.046820579915963854,0.044495441609502126,0.0038878376875114235,0.06553594093714289,0.0,0.06727719019572757,0.14169649713316096,0.12343240178001237,0.23631507746815494,0.15387436824424236,0.1152156269283481,0.19180411897939106,0.10453214548675524,0.19765767109424506,0.026427734521405795,0.172505421966781,0.12559989730036764,0.18953680032545278,0.07424945000550434,1.0,0.29663393386246717,0.0953417584209578,0.04737944007601219,0.17731862085083216,0.1943085790971864,0.25479270381607205,0.14743899287684828,0.047767902520143124,0.02384658712023784,0.06464851471719926,0.22199708054243095,0.1466597245586874,0.21686734693443022,0.11659300150707044,0.06488936350568855,0.23377661901544586,0.161179204730156,0.1282006412619992,0.06701129562850001,0.10528554597811657
doc_23.txt,0.020778254453855404,0.012500012808702644,0.0,0.03331165316278736,0.004457933029851738,0.08523217210325594,0.07211410149932762,0.023381240444736148,0.015739566617934426,0.007686311980418136,0.003135295576629825,0.024753097139513132,0.016801055621089897,0.048915110739934646,0.07122617966483427,0.26049454836347474,0.047545256929266,0.04678369358561126,0.028880055020529732,0.022355373471827016,0.0035600673596286364,0.0,0.16393715146112026,0.03583299288451164,0.0,0.022755174384358215,0.0,0.004636690325556726,0.01942884595262992,0.026200065195563678,0.012774584237197014,0.023711252335711783,0.0029923938358597697,0.08394447288997746,0.0,0.07568251855996977,0.0863926048090975,0.12064631984064633,0.23328519038793055,0.13526834113424854,0.18778160448835923,0.2170112620222383,0.075111289987002,0.2019900466881101,0.03391423498981151,0.15780043316471448,0.10112465923398983,0.15981824730188326,0.1335822164678728,0.29663393386246717,0.9999999999999997,0.07675200767415627,0.06362602079763043,0.2889433518881547,0.0380073298251947,0.20422591873348936,0.13202973373348334,0.14682482110723458,0.07350934687821185,0.053348967688688236,0.16450744957684774,0.13018256483684534,0.18276380038177137,0.11178700630663582,0.05588094902170443,0.18715140700000918,0.10933719583658955,0.10542821322482829,0.06777099603782684,0.09093839677562836
doc_24.txt,0.02456710094726238,0.0,0.0,0.0,0.0,0.04404860059181468,0.0422079196405236,0.0,0.0,0.0,0.0,0.04435262827835432,0.04125348105913977,0.0,0.0,0.05642393973929578,0.48790712150045035,0.03823906750340559,0.041728328388459725,0.0,0.057177965036038766,0.0,0.0,0.0369672627352761,0.0,0.0,0.03769576416814023,0.0,0.020318064540204468,0.0,0.008232677861866591,0.0,0.0,0.0,0.0,0.0,0.05082574628261116,0.0802713394223965,0.060349786322064676,0.06828636098337032,0.10604738789684799,0.07800491795884351,0.03771452307432597,0.0629338169896675,0.040124549905198786,0.11905249987513569,0.0,0.11309018754301252,0.0,0.0953417584209578,0.07675200767415627,1.0,0.034928896159248025,0.1296351881161191,0.02128382149303995,0.13038996121065083,0.025852505977218276,0.0639611510060223,0.05447277918474132,0.024882230430561772,0.008190142758815529,0.09637135629002887,0.08795308898966558,0.04984481909771912,0.014382608205806332,0.037718583232036834,0.05326548443510486,0.06505698555279783,0.025418250282863514,0.0
doc_25.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03725673594165282,0.041419460340616394,0.0,0.01600777404441257,0.0,0.0,0.038960651962209845,0.7164227946466157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017690645702919023,0.0,0.0,0.0,0.01367351310296452,0.0,0.004138094006171761,0.021376030450939006,0.024701100670497144,0.01906711132517918,0.014815286670308406,0.014791931533475949,0.07089116810604328,0.0,0.024747125019923683,0.024866896746919498,0.019848678476862815,0.013523239045988154,0.04737944007601219,0.06362602079763043,0.034928896159248025,1.0000000000000002,0.02894958260016145,0.04385972990165403,0.03215038317288552,0.0825641870207002,0.0,0.0,0.0,0.028876001886120592,0.027083559414548843,0.024571498400092123,0.03107887046212556,0.04000763405200922,0.02792320094361213,0.0699522690607967,0.030641573046966332,0.016485292512150942,0.0
doc_26.txt,0.1017394836201015,0.01345415291679214,0.0,0.004797139778525447,0.009018652216263632,0.07406717595207911,0.0025806728409829547,0.008857937745740915,0.02350475620160818,0.0,0.025053742677011215,0.0170838394742144,0.019815905454665116,0.0035049871181854265,0.03649603099084884,0.03904095007853703,0.058286343490204416,0.023178398761955762,0.39311770751635605,0.004829024132550155,0.014454754199398977,0.0,0.06064187456439149,0.04862754973579313,0.0,0.009360060495102483,0.0,0.0,0.018252437517798308,0.04602224719955287,0.021188519846274387,0.017309696019325603,0.0,0.03435615293378241,0.0,0.14971653539188903,0.06811721062218098,0.11294919917138839,0.20878725174836665,0.1380723090155083,0.2179440717445668,0.21349244730084996,0.04052977616258912,0.18609839641698236,0.03590413267222493,0.16223610328765123,0.08941214115639579,0.14355150761542818,0.04310387576048061,0.17731862085083216,0.2889433518881547,0.1296351881161191,0.02894958260016145,1.0000000000000004,0.11722938241028467,0.19072445426772555,0.061570882644114484,0.10652370549496487,0.11915716066695671,0.05175994160620202,0.15379370426390898,0.16936845687871893,0.1201316674270698,0.118172996828806,0.06492389091797955,0.17349798318547252,0.118300297790981,0.11567734567663862,0.0430632759415855,0.08462252154533455
doc_27.txt,0.11630341332837635,0.0,0.0,0.0,0.0,0.0,0.0,0.02791016288257078,0.0,0.0,0.036358180021525764,0.02801827546792736,0.0,0.041517026544593306,0.03831110956824941,0.03876674947916692,0.026355009701002654,0.0414230200386146,0.03686698018298505,0.3275398789257163,0.0,0.0,0.027923087241410797,0.0,0.0,0.0,0.0,0.0,0.011611420258131552,0.052124985189909864,0.0,0.027914937322021147,0.0,0.0,0.0,0.17241552714833797,0.0,0.041304439467013655,0.03192534485238691,0.030515081255406896,0.007990879772700556,0.049459495991880424,0.023340914094530575,0.050882643811704834,0.028767164132495877,0.044793931836529216,0.023982564557384126,0.032965843960004126,0.03215804859785268,0.1943085790971864,0.0380073298251947,0.02128382149303995,0.04385972990165403,0.11722938241028467,1.0,0.06083044948842018,0.0,0.0,0.02749789889113597,0.014769743630187829,0.01975001572214547,0.033816798734657615,0.013029660948078541,0.036345363155324266,0.028118235545602624,0.034069208248404134,0.053390034101724965,0.06836041935952945,0.027672217470001273,0.0
doc_28.txt,0.003789351046015043,0.023175497952055642,0.0,0.0050625662531482395,0.006500148419601319,0.0,0.010862510409226894,0.03862083292858695,0.0,0.005097599573194839,0.10777351999390418,0.05108187123667392,0.1336484533885105,0.008986861959119559,0.07032925308355609,0.06871884344791448,0.10903630289746198,0.014864695841526668,0.010369946747773685,0.03057728864002563,0.13655370898571448,0.009233662051778745,0.010089904549835322,0.015568453929540427,0.0,0.01219503847595408,0.005814380935199279,0.013055698301998722,0.028294852491489365,0.027872437212531322,0.03034473967656753,0.007186717829496667,0.009700484858140786,0.037849306242590294,0.0,0.045479543757866864,0.17851650191228857,0.12386565511545998,0.1774949760538494,0.14982275432981493,0.12125060852380944,0.1811694780462337,0.09549204544120976,0.15189228051782291,0.04697941215690524,0.23209392429624637,0.07894704788452048,0.2842996759543509,0.061990030349503164,0.25479270381607205,0.20422591873348936,0.13038996121065083,0.03215038317288552,0.19072445426772555,0.06083044948842018,0.9999999999999999,0.11658233336857693,0.06585116505192154,0.09361998684377701,0.05127267558485772,0.21970374549081848,0.17822160289403033,0.16433777762205776,0.1051965399171345,0.03761005576103759,0.1669588384052505,0.07145768166045646,0.1490118066670463,0.08696507278518781,0.06867281064231581
doc_29.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.015584538830472103,0.0,0.0,0.03915293490232837,0.02047501075116453,0.0,0.021943819079571537,0.0,0.0,0.013941782334776335,0.0,0.0,0.0,0.0,0.0,0.15204498142031408,0.0,0.0,0.04751452193410994,0.018841627129811,0.0,0.0,0.0,0.0,0.027381324186574477,0.0,0.0,0.024477904951531765,0.0,0.014874825776766052,0.14449358851442123,0.06043746145392995,0.07993702450206736,0.03884072386615133,0.16602238578615097,0.08831647345674362,0.025538693831735747,0.11762705201131109,0.02216210318230116,0.06314929273986049,0.03870419627612881,0.10214011547971447,0.057767951420237024,0.14743899287684828,0.13202973373348334,0.025852505977218276,0.0825641870207002,0.061570882644114484,0.0,0.11658233336857693,1.0000000000000002,0.0,0.05861261747434947,0.04807791160038649,0.1083188344657113,0.036775244284604845,0.07739127528644338,0.02724254200967168,0.052760824673389405,0.06407809997158864,0.05968835864457599,0.013861910301306669,0.04217029030287404,0.2030514543284281
