,Word,Frequency
0,wait,3
1,month,4
2,decis,3
3,made,4
4,asylum,20
5,statu,3
6,letter,1
7,n't,5
8,misha,8
9,dozen,2
10,seeker,13
11,dublin,4
12,hotel,11
13,notifi,1
14,would,4
15,move,5
16,rural,2
17,town,5
18,200,1
19,mile,2
20,away,4
21,west,1
22,coast,1
23,ireland,8
24,due,1
25,concern,4
26,spread,3
27,accommod,11
28,also,5
29,share,6
30,pay,1
31,guest,3
32,less,1
33,24,4
34,hour,1
35,pack,1
36,things.when,1
37,transfer,3
38,cahersiveen,13
39,counti,1
40,kerri,2
41,march,7
42,18,2
43,hope,1
44,safe,2
45,arriv,4
46,told,5
47,bunk,1
48,anoth,4
49,know,1
50,began,3
51,fear,4
52,worst,1
53,``,29
54,scare,1
55,life,2
56,'',13
57,said,15
58,ask,2
59,real,1
60,name,1
61,use,1
62,might,2
63,impact,1
64,claim.about,1
65,100,2
66,peopl,16
67,total,1
68,hand,1
69,center,12
70,includ,3
71,one,9
72,itali,1
73,reportedli,1
74,contract,2
75,virus.just,1
76,day,4
77,resid,11
78,start,5
79,show,1
80,symptom,1
81,accord,3
82,three,4
83,cnn,7
84,talk,1
85,rumor,1
86,started.th,1
87,commun,11
88,given,3
89,littl,1
90,time,2
91,prepar,2
92,local,5
93,found,3
94,skellig,9
95,star,8
96,—,8
97,rebuilt,1
98,2006,1
99,promis,1
100,draw,1
101,tourist,1
102,swim,1
103,pool,1
104,leisur,1
105,facil,3
106,convert,1
107,seekers.despit,1
108,lack,1
109,consult,1
110,lose,1
111,busi,3
112,major,2
113,welcom,2
114,group,1
115,bring,2
116,cloth,1
117,toy,1
118,news,1
119,swirl,1
120,get,3
121,sick,2
122,still,1
123,shop,1
124,store,1
125,small,1
126,panic,1
127,love,1
128,live,4
129,...,4
130,'d,1
131,jack,2
132,fitzpatrick,3
133,chairman,1
134,allianc,1
135,way,2
136,plunk,1
137,congest,1
138,midst,1
139,pandem,2
140,outbreak,5
141,swiftli,1
142,infect,2
143,25,1
144,peak,1
145,declar,1
146,may,2
147,20,2
148,'s,12
149,health,5
150,servic,6
151,execut,1
152,hse,6
153,continu,2
154,push,1
155,shut,1
156,join,1
157,togeth,2
158,unit,1
159,front,1
160,seri,1
161,demonstr,2
162,system,5
163,known,1
164,direct,10
165,provis,10
166,overseen,1
167,depart,12
168,justic,10
169,equal,3
170,oper,2
171,privat,1
172,hous,1
173,emerg,2
174,find,1
175,grant,2
176,refuge,1
177,permiss,2
178,stay,2
179,country.cal,1
180,reform,3
181,introduc,1
182,initi,1
183,measur,1
184,state,2
185,sudden,1
186,increas,1
187,applic,2
188,coincid,1
189,sweep,1
190,global,1
191,protest,1
192,racial,1
193,follow,1
194,kill,2
195,georg,2
196,floyd,2
197,us,3
198,mani,1
199,african,1
200,countri,3
201,condemn,1
202,part,1
203,govern,4
204,argu,1
205,els,1
206,treat,1
207,appeal,1
208,assess,1
209,'re,3
210,provid,5
211,free,2
212,food,2
213,util,1
214,access,2
215,healthcar,3
216,educ,2
217,almost,1
218,autonomi,1
219,choos,1
220,least,2
221,eight,1
222,process,2
223,expect,1
224,surviv,1
225,weekli,1
226,allow,1
227,€38.80,1
228,43,1
229,instead,2
230,comment,3
231,comparison,1
232,murder,1
233,earlier,1
234,conced,2
235,substandard,1
236,need,2
237,chang,1
238,ultim,1
239,offer,2
240,involv,1
241,heat,2
242,light,1
243,care,1
244,spend,1
245,money,1
246,thing,1
247,man,1
248,polic,2
249,case,4
250,take,2
251,year,3
252,fact,2
253,critic,1
254,recent,1
255,call,2
256,sped,1
257,reject,1
258,rate,1
259,high,1
260,around,3
261,70,2
262,die,2
263,freedom,1
264,inform,1
265,request,2
266,.ireland,1
267,fine,1
268,gael,1
269,green,1
270,parti,2
271,struck,1
272,draft,1
273,deal,1
274,form,1
275,new,2
276,coalit,1
277,monday,1
278,ratifi,1
279,member,2
280,end,2
281,polit,1
282,stalem,1
283,sinc,2
284,elect,1
285,februari,1
286,inject,1
287,urgenc,1
288,irish,1
289,key,2
290,commit,1
291,outlin,1
292,agreement,1
293,pledg,1
294,replac,1
295,polici,1
296,not-for-profit,1
297,approach.liam,1
298,thornton,2
299,law,1
300,lectur,1
301,expert,2
302,greet,1
303,cautiou,1
304,optim,1
305,20-plu,1
306,denial,1
307,anyth,1
308,much,2
309,wrong,1
310,interest,1
311,see,1
312,implement,2
313,darkest,1
314,chapter,1
315,dept,1
316,histori,1
317,design,1
318,administ,1
319,aw,1
320,mindset,1
321,asap,1
322,human,1
323,right,1
324,campaign,1
325,legal,1
326,say,7
327,shone,1
328,spotlight,1
329,structur,1
330,problem,1
331,long,1
332,exist,1
333,backdrop,1
334,covid-19,7
335,often,1
336,crowd,1
337,poor,1
338,condit,3
339,becom,1
340,appar,1
341,advis,1
342,everybodi,1
343,social,2
344,distanc,2
345,space,1
346,bedroom,3
347,stranger,1
348,dine,2
349,room,7
350,salt,1
351,shaker,1
352,lobbi,1
353,everyth,1
354,look,1
355,whole,1
356,situat,2
357,realli,1
358,fit,1
359,purpos,1
360,watch,1
361,horror,1
362,fall,1
363,pull,1
364,makeshift,1
365,isol,3
366,first,1
367,suspect,2
368,report,1
369,earli,1
370,ad,1
371,person,2
372,test,5
373,posit,4
374,conducted.accord,1
375,previou,2
376,manag,4
377,week,1
378,later,2
379,mid-april,1
380,confirm,3
381,order,1
382,insid,1
383,quarantin,1
384,verifi,1
385,evid,1
386,written,1
387,place,1
388,parliament,1
389,norma,1
390,foley,1
391,hear,1
392,respons,2
393,timelin,3
394,import,2
395,either,1
396,unequivoc,1
397,transport,1
398,bu,2
399,19,1
400,statement,1
401,regard,1
402,honest,1
403,mistak,1
404,fail,1
405,receiv,1
406,attempt,1
407,intent,1
408,mislead,1
409,conceal,1
410,relat,1
411,outbreak.aft,1
412,roommat,1
413,taken,1
414,self-isol,1
415,thought,2
416,someon,1
417,could,1
418,disinfect,1
419,came,1
420,rais,1
421,worker,2
422,site,1
423,reason,1
424,worri,1
425,embarrass,1
426,intellig,1
427,10,1
428,develop,1
429,monitor,1
430,staff,3
431,throughout,1
432,gener,2
433,support,1
434,mainstream,1
435,integr,1
436,work,3
437,close,3
438,ensur,1
439,wellb,1
440,singl,1
441,enhanc,1
442,clean,2
443,intend,1
444,self-cat,1
445,cook,3
446,eat,1
447,townb,2
448,compani,1
449,respond,1
450,unabl,1
451,valu,1
452,two,3
453,commerci,1
454,sensitivity.but,1
455,detail,2
456,differ,1
457,dramat,1
458,describ,1
459,mid-march,1
460,holiday,1
461,readi,1
462,cope,1
463,coronaviru,1
464,central,1
465,broken,1
466,smaller,1
467,standard,2
468,size,1
469,deep,1
470,establish,1
471,protect,2
472,equip,1
473,avail,1
474,vet,1
475,garda,1
476,síochána,1
477,nation,1
478,service.bulelani,1
479,mfaco,2
480,activist,1
481,2017,1
482,lay,1
483,recommend,1
484,wide-rang,1
485,top,1
486,list,1
487,guarante,1
488,suitabl,1
489,physic,1
490,mental,1
491,model,1
492,give,1
493,vulner,1
494,hoteli,1
495,train,1
496,risk,1
497,gather,1
498,cram,1
499,remot,2
500,villag,1
501,far,1
502,overstretch,1
503,hits.th,1
504,closest,1
505,hospit,1
506,popul,1
507,"1,000",1
508,40,1
509,doctor,1
510,ambul,1
511,serv,1
512,entir,1
513,iveragh,1
514,peninsula,1
515,lucki,1
516,nobodi,1
517,stop,1
518,viru,2
519,go,3
520,widespread,1
521,biggest,1
522,second,1
523,wave,1
524,afraid,1
525,like,3
526,wildfir,1
527,next,1
528,basic,1
529,best,1
530,tri,1
531,sort,1
532,demand,1
533,resign,1
534,minist,1
535,charli,1
536,flanagan,3
537,misl,1
538,public,1
539,knowledg,1
540,it.in,1
541,wake,1
542,former,1
543,secretari,1
544,ciaran,1
545,quinlan,1
546,seek,1
547,injunct,1
548,want,1
549,help,1
550,front-door,1
551,unsuit,1
552,azwar,1
553,fuard,3
554,act,1
555,spokesman,1
556,remain,3
557,amnesti,1
558,ireland.fuard,1
559,origin,1
560,sri,1
561,lanka,1
562,young,1
563,famili,3
564,feel,1
565,settl,1
566,wife,1
567,capit,1
568,friend,1
569,three-year-old,1
570,daughter,1
571,pre-school,1
572,rip,1
573,yet,1
574,doubl,1
575,trauma.now,1
576,larg,1
577,confin,1
578,12ft,1
579,x,1
580,13ft,1
581,ensuit,1
582,bathroom,1
583,wash,1
584,own-door,1
585,meal,1
586,keep,1
