,doc_102.txt,doc_103.txt,doc_105.txt,doc_107.txt,doc_108.txt,doc_112.txt,doc_113.txt,doc_115.txt,doc_116.txt,doc_117.txt,doc_118.txt,doc_120.txt,doc_71.txt,doc_73.txt,doc_74.txt,doc_75.txt,doc_79.txt,doc_80.txt
doc_102.txt,1.0000000000000002,0.015761870625122753,0.05196330667507757,0.02638415710920082,0.05156597036127074,0.06654974429183486,0.029682956597760976,0.015892822497554436,0.04341176371990355,0.015291748399732496,0.12259883172007403,0.11395528720966065,0.03587100790204981,0.046061483618955776,0.00941397011528423,0.017908302666109936,0.01340928418105009,0.03483735277519387
doc_103.txt,0.015761870625122753,0.9999999999999993,0.03600950293615715,0.008411573475692208,0.036864841222069795,0.027465086135795236,0.019637780947409506,0.0168002636775711,0.027164677111465307,0.02019050505421786,0.04109844518588518,0.03303691115603584,0.021373360015643637,0.026974546470357994,0.022905105200201076,0.08893715146776618,0.012082740013016978,0.02067922081909227
doc_105.txt,0.05196330667507757,0.03600950293615715,1.0,0.02114586388553495,0.026070148712037458,0.017484396881552476,0.01739274559059057,0.023082418437685305,0.013850890749682758,0.010281409133832962,0.023861180173271546,0.08877837644255648,0.03676834086090173,0.02536409637444001,0.003861255562610601,0.029598851927709648,0.021049547263444043,0.020744614401833377
doc_107.txt,0.02638415710920082,0.008411573475692208,0.02114586388553495,1.0000000000000009,0.023178774738610273,0.018481460816428572,0.003739210457166432,0.014635752756235628,0.008330271222403365,0.0004219255056972769,0.017073882889006953,0.005958766256142725,0.015204813074072284,0.023163274757290866,0.013449833358412072,0.016291364576130677,0.013414938024717667,0.00758819703360932
doc_108.txt,0.05156597036127074,0.036864841222069795,0.026070148712037458,0.023178774738610273,1.0000000000000007,0.10717349267269231,0.01893663543967048,0.023322585503529416,0.04077806772571577,0.03821929617623371,0.03677564441007584,0.04792831618578089,0.04674673526916645,0.05460219880924394,0.023220618494544192,0.03911383303413572,0.0418208842035239,0.056641518441925706
doc_112.txt,0.06654974429183486,0.027465086135795236,0.017484396881552476,0.018481460816428572,0.10717349267269231,1.0000000000000004,0.04959270588987382,0.03546021170592296,0.05258076377919889,0.02285966615234809,0.025539445065891057,0.06055657542388236,0.017238132937693513,0.14139772902194014,0.018885762284225338,0.03582664955808797,0.041109381849268475,0.05277814929914275
doc_113.txt,0.029682956597760976,0.019637780947409506,0.01739274559059057,0.003739210457166432,0.01893663543967048,0.04959270588987382,0.9999999999999999,0.023005405698549558,0.07531125068349126,0.02044429445822298,0.06808038182719536,0.042741470256489666,0.058139659302039313,0.026813088052776362,0.019333083864809166,0.033835087710356496,0.020909447637101772,0.010095385813873863
doc_115.txt,0.015892822497554436,0.0168002636775711,0.023082418437685305,0.014635752756235628,0.023322585503529416,0.03546021170592296,0.023005405698549558,1.0000000000000009,0.014513447866703938,0.05763462819003723,0.014453815865261796,0.019279809877259583,0.02086722080081871,0.013784539614071696,0.01875426866994826,0.05499990288600295,0.004258206789669426,0.010992237418423558
doc_116.txt,0.04341176371990355,0.027164677111465307,0.013850890749682758,0.008330271222403365,0.04077806772571577,0.05258076377919889,0.07531125068349126,0.014513447866703938,1.0000000000000004,0.01575426584115716,0.0681206981503972,0.030630665565656783,0.01761570726306069,0.03598649673327964,0.004044030669214356,0.023645962070651,0.021955245947540544,0.0279185485265079
doc_117.txt,0.015291748399732496,0.02019050505421786,0.010281409133832962,0.0004219255056972769,0.03821929617623371,0.02285966615234809,0.02044429445822298,0.05763462819003723,0.01575426584115716,0.9999999999999999,0.02176104445423986,0.046196845245640834,0.04936792684643252,0.021821139557740784,0.027239627141035627,0.08262115010727553,0.012432441419348222,0.0244089058847733
doc_118.txt,0.12259883172007403,0.04109844518588518,0.023861180173271546,0.017073882889006953,0.03677564441007584,0.025539445065891057,0.06808038182719536,0.014453815865261796,0.0681206981503972,0.02176104445423986,0.9999999999999998,0.04527249212380216,0.02112988042600375,0.0067557794033991855,0.02163848742885561,0.06281824606915389,0.009654952342580438,0.012357626012450704
